*** start
START 
OF 
THE project
PROJECT gutenberg
GUTENBERG ebook
EBOOK sense
SENSE 
AND sensibiliti
SENSIBILITY illustration
*** sense
[Illustration] 
Sense sensibiliti
and 
Sensibility jane
by austen
Jane 1811
Austen content
(1811) chapter
Contents i
CHAPTER chapter
I ii
CHAPTER chapter
II iii
CHAPTER chapter
III iv
CHAPTER chapter
IV v
CHAPTER chapter
V vi
CHAPTER chapter
VI vii
CHAPTER chapter
VII viii
CHAPTER chapter
VIII ix
CHAPTER chapter
IX x
CHAPTER chapter
X xi
CHAPTER chapter
XI xii
CHAPTER chapter
XII xiii
CHAPTER chapter
XIII xiv
CHAPTER chapter
XIV xv
CHAPTER chapter
XV xvi
CHAPTER chapter
XVI xvii
CHAPTER chapter
XVII xviii
CHAPTER chapter
XVIII xix
CHAPTER chapter
XIX xx
CHAPTER chapter
XX xxi
CHAPTER chapter
XXI xxii
CHAPTER chapter
XXII xxiii
CHAPTER chapter
XXIII xxiv
CHAPTER chapter
XXIV xxv
CHAPTER chapter
XXV xxvi
CHAPTER chapter
XXVI xxvii
CHAPTER chapter
XXVII xxviii
CHAPTER chapter
XXVIII xxix
CHAPTER chapter
XXIX xxx
CHAPTER chapter
XXX xxxi
CHAPTER chapter
XXXI xxxii
CHAPTER chapter
XXXII xxxiii
CHAPTER chapter
XXXIII xxxiv
CHAPTER chapter
XXXIV xxxv
CHAPTER chapter
XXXV xxxvi
CHAPTER chapter
XXXVI xxxvii
CHAPTER chapter
XXXVII xxxviii
CHAPTER chapter
XXXVIII xxxix
CHAPTER chapter
XXXIX xl
CHAPTER chapter
XL xli
CHAPTER chapter
XLI xlii
CHAPTER chapter
XLII xliii
CHAPTER chapter
XLIII xliv
CHAPTER chapter
XLIV xlv
CHAPTER chapter
XLV xlvi
CHAPTER chapter
XLVI xlvii
CHAPTER chapter
XLVII xlviii
CHAPTER chapter
XLVIII xlix
CHAPTER chapter
XLIX l
CHAPTER chapter
L i
CHAPTER 
I. famili
The 
family dashwood
of had
Dashwood long
had been
long settl
been 
settled sussex
in their
Sussex. estate
Their 
estate large
was 
large, their
and residence
their 
residence 
was norland
at park
Norland 
Park, 
in centre
the 
centre their
of properti
their where
property, 
where, mani
for generation
many they
generations, had
they live
had 
lived so
in respectable
so 
respectable manner
a 
manner 
as engage
to 
engage general
the good
general opinion
good 
opinion their
of surround
their acquaintance
surrounding 
acquaintance. late
The owner
late 
owner this
of estate
this 
estate 
was single
a man
single who
man, live
who 
lived 
to veri
a advanc
very age
advanced 
age, who
and 
who mani
for year
many 
years his
of life
his had
life, 
had constant
a companion
constant 
companion housekeeper
and 
housekeeper his
in sister
his but
sister. her
But death
her which
death, happen
which ten
happened year
ten before
years his
before own
his produc
own, 
produced great
a alteration
great 
alteration his
in home
his 
home; 
for suppli
to her
supply loss
her 
loss, invit
he 
invited receiv
and into
received his
into house
his 
house famili
the 
family his
of nephew
his mr
nephew henri
Mr. dashwood
Henry 
Dashwood, legal
the inheritor
legal 
inheritor 
of norland
the estate
Norland 
estate, 
and person
the 
person whom
to 
whom intend
he 
intended bequeath
to 
bequeath 
it. 
In societi
the 
society his
of nephew
his 
nephew niece
and 
niece, their
and children
their 
children, old
the gentleman
old day
Gentleman's 
days comfortabli
were spent
comfortably his
spent. attachment
His 
attachment them
to all
them increas
all 
increased. constant
The attention
constant 
attention mr
of 
Mr. mrs
and henri
Mrs. dashwood
Henry 
Dashwood his
to wishe
his which
wishes, proceede
which not
proceeded mereli
not 
merely interest
from but
interest, 
but goodness
from 
goodness heart
of gave
heart, him
gave everi
him degree
every 
degree solid
of comfort
solid which
comfort his
which age
his could
age receive
could 
receive; 
and cheerfulness
the 
cheerfulness 
of children
the ad
children 
added relish
a 
relish his
to existence
his 
existence. 
By former
a marriage
former mr
marriage, henri
Mr. dashwood
Henry had
Dashwood one
had son
one 
son: his
by present
his ladi
present three
lady, daughter
three 
daughters. son
The 
son, steadi
a respectable
steady young
respectable man
young 
man, ampli
was provid
amply 
provided 
for 
by fortune
the 
fortune his
of mother
his which
mother, had
which been
had large
been 
large, half
and 
half which
of devolv
which 
devolved him
on 
him his
on come
his 
coming age
of 
age. his
By own
his marriage
own likewise
marriage, which
likewise, happen
which soon
happened afterward
soon 
afterwards, ad
he 
added his
to wealth
his 
wealth. him
To therefore
him 
therefore succession
the 
succession 
to norland
the estate
Norland 
estate not
was so
not realli
so important
really 
important 
as his
to sister
his 
sisters; their
for fortune
their independent
fortune, 
independent what
of might
what arise
might 
arise them
to 
them their
from father
their inherit
father's 
inheriting properti
that could
property, 
could but
be small
but their
small. mother
Their had
mother noth
had 
nothing, their
and father
their onli
father seven
only thousand
seven pound
thousand 
pounds his
in own
his disposal
own 
disposal; 
for remain
the moieti
remaining 
moiety his
of first
his wife
first fortune
wife's 
fortune also
was secur
also 
secured her
to child
her 
child, 
and had
he onli
had 
only life
a interest
life-interest lifeinterest
in 
it. 
The 
old old
gentleman gentleman
died: die
his his
will will
was 
read, read
and 
like like
almost almost
every everi
other other
will, will
gave gave
as 
much much
disappointment disappointment
as 
pleasure. pleasure
He 
was 
neither neither
so so
unjust, unjust
nor nor
so so
ungrateful, ungrateful
as 
to 
leave leave
his his
estate estate
from 
his his
nephew; nephew
- 
but but
he 
left left
it 
to 
him him
on 
such such
terms term
as 
destroyed destroy
half half
the 
value value
of 
the 
bequest. bequest
Mr. mr
Dashwood dashwood
had had
wished wish
for 
it 
more more
for 
the 
sake sake
of 
his his
wife wife
and 
daughters daughter
than than
for 
himself himself
or or
his his
son; son
- 
but but
to 
his his
son, son
and 
his his
son's son
son, son
a 
child child
of 
four four
years year
old, old
it 
was 
secured, secur
in 
such such
a 
way, way
as 
to 
leave leave
to 
himself himself
no no
power power
of 
providing provid
for 
those those
who who
were 
most most
dear dear
to 
him, him
and 
who who
most most
needed neede
a 
